NOC,Predicted Medal,Predicted Gold,Average Loss
SVK,3.343793392,0.947931916,0.066181386
JOR,2.263092041,0,0.05623228
JOR,1.794055223,0.464267999,0.065890344
ALB,0,0,0.017747922
ALB,0.273928434,0.063289016,0.003095333
ROU,0.836153179,0.836153179,0.022293003
ROU,0.49719207,0.49719207,0.017788332
AZE,10.30707479,0,0.061792045
AZE,4.414641112,0,0.051880342
CMR,0.136768132,0.136768132,0.08988325
CMR,0,0,0.140188987
CIV,1.366357327,0.181319788,0.065563476
CIV,1.970569134,0.462012649,0.083750862
BDI,0.062777877,0,0.109527774
BDI,0.041551478,0,0.107840007
HAI,0.003389737,0.003389737,0.005396319
HAI,0,0,0.010289938
KAZ,12.20529264,0.183076423,0.138840214
KAZ,13.53991276,0.445968792,0.189905067
ROT,0.005479213,0,0.00207466
ROT,0.148354381,0,0.003561157
TPE,10.21142864,1.696997643,0.067839947
TPE,13.24371243,2.492439747,0.046148476
UZB,4.402406216,4.402406216,0.027439391
UZB,5.272206992,3.089022398,0.036913047
SWE,8.303466812,2.313702762,0.00563432
SWE,7.696106061,2.42304612,0.00405225
IRL,3.003366888,1.224034667,0.076545432
IRL,2.913826287,1.529576659,0.05118632
ZIM,0,0,0.117641071
ZIM,0,0,0.084838577
TGA,0.123081967,0.021337824,0.038033929
TGA,0,0,0.044096806
IRQ,0.105911836,0.105911836,0.021745473
IRQ,0.052961498,0.052961498,0.008756514
TUN,2.404157996,1.177231193,0.071086058
TUN,1.910017669,0.772738397,0.078762682
MAR,0.70936197,0.70936197,0.070853481
MAR,0.727441609,0.727441609,0.085757133
ZAM,0,0,0.036143233
ZAM,0,0,0.054125385
LUX,0.056521893,0.056521893,0.009293189
LUX,0.149588645,0.149588645,0.002065544
CAN,22.99688864,5.19105196,0.024716926
CAN,23.34457517,4.688929915,0.021654671
BUR,1.248241425,0,0.021024546
BUR,0.914912105,0.155180007,0.032824652
SUI,11.80502176,3.095634937,0.020983062
SUI,12.78409064,3.68774879,0.016057672
LAT,1.324654818,0.823111713,0.15630529
LAT,1.408779383,0.784465194,0.155100746
FIN,0.84977602,0,0.003304154
FIN,1.977421451,0,0.004311846
PRK,1.854711726,1.203244686,0.162245958
PRK,1.553104565,1.129801512,0.186926425
KSA,1.103145242,0.068539903,0.041631554
KSA,0.755116701,0.032197624,0.040977122
ISV,0.016828317,0.016828317,0.046635842
ISV,0.060244329,0.019772135,0.022456662
CZE,10.92389596,3.514032602,0.138556711
CZE,12.16745365,3.378364086,0.128901041
CRC,0.237270162,0.237270162,0.070112465
CRC,0.332744241,0.001646768,0.058800585
UKR,17.20164812,2.392945379,0.152678687
UKR,18.03378171,0.594100043,0.169981894
ARM,5.046368241,0.320684493,0.131657559
ARM,4.0589571,0.051215313,0.152493626
PAR,0.020914938,0.020914938,0.042033848
PAR,0.194798321,0.194798321,0.04580659
TAN,0.187645644,0.03773585,0.003812839
TAN,0.151187226,0.151187226,0.003732448
URU,0,0,0.012389544
URU,0,0,0.0173931
ISL,0,0,0.081057388
ISL,0,0,0.061371747
HUN,19.00904614,7.557510376,0.047155982
HUN,18.73458141,7.510388374,0.045755197
ESP,21.61581469,6.041681319,0.084323446
ESP,20.80746114,5.286133558,0.074232361
MNE,0.157518446,0,0.043483858
MNE,0.11925631,0,0.05490019
RSA,4.956659079,1.407493114,0.072268035
RSA,3.30812037,1.885167837,0.093021066
THA,1.591424882,1.591424882,0.092841624
THA,2.469171047,1.387338907,0.078923107
GUA,0,0,0.037868545
GUA,0,0,0.012040027
NGR,1.211030513,0,0.092776981
NGR,1.757452905,0,0.116671332
BER,1.321559668,1.321559668,0.0485459
BER,1.4904356,1.365902662,0.050045103
SEN,0.021923481,0,0.020754982
SEN,0.112982951,0.027854208,0.046343126
CHN,101.757431,40.55706024,0.070097238
CHN,102.4479628,44.33506393,0.107420129
